1,3837,1
1,1100,3
1,3490,4
1,4414,2
1,1392,2
1,1274,2
1,4670,4
1,1915,1
1,4901,1
1,4858,5
1,1487,5
1,4242,1
1,3757,4
1,1127,2
1,3967,5
1,4705,1
1,1487,2
1,1834,1
1,3706,2
1,1393,4
1,2608,3
1,1758,6
1,3521,3
1,2753,4
1,3348,2
1,3270,4
1,1931,1
1,2296,5
1,3449,2
1,2061,1
1,3753,3
1,1584,3
1,4132,1
1,3548,4
1,3001,1
1,4283,6
1,4794,2
1,1976,1
1,3916,6
1,2220,3
1,2358,6
1,1366,1
1,2776,2
1,4285,4
1,2343,2
1,1534,6
1,3540,5
1,2311,3
1,1804,5
1,2955,5
1,4453,4
1,4574,5
1,4132,3
1,1602,3
1,3441,4
1,1561,1
1,3092,4
1,2510,3
1,2601,2
1,3531,3
1,1813,1
1,4097,6
1,1304,4
1,3909,6
1,1194,4
1,4122,3
1,2377,5
1,2275,4
1,4601,3
1,4232,4
1,3089,3
1,1684,4
1,3069,6
1,3935,5
1,4533,3
1,4624,4
1,1111,5
1,3892,4
1,3902,3
1,4666,4
1,4759,5
1,2056,3
1,2572,3
1,4161,5
1,1597,3
1,4439,4
1,4631,5
1,1377,4
1,2106,3
1,2298,3
1,4125,3
1,3023,1
1,2239,4
1,1135,2
1,4042,4
1,4879,6
1,4452,2
1,2865,6
1,3196,2
1,3618,5
1,4205,2
1,4405,4
1,2921,6
1,4248,1
1,4261,5
1,3245,5
1,3599,6
1,3343,1
1,3154,3
1,1206,4
1,1718,1
1,2668,5
1,3953,6
1,3040,4
1,2819,1
1,4810,1
1,4486,2
1,2281,1
1,3739,5
1,2092,1
1,2849,1
1,4903,1
1,1588,1
1,1969,4
1,2090,5
1,1161,1
1,4638,2
1,4990,4
1,1453,3
1,4336,1
1,3089,5
1,4286,4
1,2090,4
1,3746,3
1,4302,5
1,3882,4
1,1733,2
1,4720,3
1,1343,4
1,4909,4
1,3727,4
1,4596,6
1,1175,2
1,3160,2
1,3087,4
1,2317,1
1,1429,4
1,4090,2
1,3848,3
1,1705,5
1,1888,2
1,4199,5
1,1588,4
1,4546,6
1,3948,4
1,3947,5
1,1425,2
1,4397,1
1,4325,2
1,3120,5
1,1686,5
1,4495,3
1,4228,1
1,4151,4
1,3475,5
1,2421,5
1,3385,2
1,2652,5
1,2822,1
1,4271,1
1,1118,2
1,1335,6
1,2618,6
1,2014,3
1,1271,3
1,1383,1
1,1369,4
1,3335,5
1,3465,3
1,1934,4
1,1801,6
1,3577,3
1,3305,2
1,3154,2
1,3578,1
1,3084,3
1,1113,6
1,3282,5
1,2596,5
1,4204,2
1,2243,1
1,1022,4
1,1940,1
1,3281,2
1,4221,1
1,1534,6
1,1623,6
1,3531,1
1,1031,2
1,3108,6
1,3115,2
1,3511,2
1,2960,1
1,2991,4
1,4221,2
1,1450,4
1,2836,3
1,1739,5
1,4210,1
1,3461,1
1,1202,2
1,2849,1
1,4775,4
1,1697,6
1,2588,6
1,3961,1
1,3360,6
1,2675,1
1,4220,4
1,3850,3
1,3522,1
1,3188,1
1,4223,4
1,3688,3
1,2921,4
1,3724,1
1,3164,4
1,1920,4
1,3912,6
1,3107,5
1,2048,2
1,4474,2
1,2737,1
1,2316,2
1,4962,3
1,3823,2
1,3384,3
1,3446,6
1,2145,5
1,2880,2
1,3507,4
1,4309,1
1,1193,6
1,1077,2
1,4202,1
1,2342,2
1,3860,3
1,1140,4
1,4813,6
1,2708,6
1,3222,6
1,1575,1
1,2177,1
1,2524,2
1,4470,2
1,1703,6
1,4317,4
1,4978,2
1,1803,1
1,4497,6
1,2319,1
1,2967,4
1,3739,4
1,4917,2
1,2187,3
1,1039,3
1,4773,4
1,3531,4
1,2456,3
1,3937,6
1,2352,2
1,2969,2
1,2622,6
1,3333,4
1,4855,3
1,4449,3
1,4757,1
1,4677,1
1,1015,6
1,4731,4
1,1286,3
1,2520,5
1,4140,4
1,1620,3
1,3597,6
1,3970,2
1,1343,4
1,3557,6
1,2571,3
1,1851,1
1,1970,4
1,1096,2
1,2652,2
1,4626,1
1,1276,3
1,3854,5
1,3705,5
1,3445,4
1,2577,1
1,4903,3
1,2397,4
1,2474,3
1,2942,6
1,1501,2
1,1218,3
1,3761,5
1,3067,2
1,4882,4
1,4108,4
1,3812,4
1,4007,6
1,1692,4
1,4663,6
1,3842,2
1,1937,1
1,4808,4
1,2606,3
1,4584,6
1,3322,6
1,4121,6
1,1366,5
1,4017,6
1,1604,1
1,4942,2
1,1997,1
1,2483,3
1,3788,4
1,3919,6
1,2022,2
1,2069,1
1,4023,2
1,1966,3
1,2278,5
1,4476,5
1,1349,5
1,3975,2
1,4907,3
1,1204,2
1,3558,5
1,3419,6
1,4442,3
1,1416,5
1,1996,3
1,2721,1
1,4938,6
1,2565,3
1,2316,1
1,3378,1
1,4905,6
1,3435,1
1,1421,3
1,3664,5
1,1292,6
1,2278,4
1,4182,3
1,1359,3
1,1402,3
1,2005,4
1,3283,5
1,3618,5
1,3952,5
1,1625,3
1,3212,4
1,3486,1
1,4214,1
1,3218,2
1,4595,3
1,4184,6
1,1710,1
1,4451,6
1,2145,4
1,2068,1
